number,value,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
70,0.8701889660621153,5,450,3.5069864238251194,0.03603983376225968,COMPLETE
71,0.8745278996865204,3,150,2.6744953844350494,0.0615412207422168,COMPLETE
72,0.8723557692307693,3,200,1.778193057516974,0.1086973257643595,COMPLETE
73,0.8745278996865204,4,100,3.053971490184109,0.07370383314856037,COMPLETE
74,0.8745278996865204,7,250,4.062671611205368,0.013888669728192152,COMPLETE
75,0.8637196336121067,5,200,2.1093807497914687,0.1463224382396521,COMPLETE
76,0.8723557692307693,6,300,9.182971791469456,0.04518983046165152,COMPLETE
77,0.8745278996865204,6,250,2.006646274059207,0.056538499610179496,COMPLETE
78,0.8745278996865204,3,200,3.4865529251514236,0.02554823674142268,COMPLETE
79,0.8745278996865204,4,150,2.3719946447311995,0.01833254865349459,COMPLETE
80,0.8723557692307693,5,350,2.777465473103029,0.048233267741535246,COMPLETE
81,0.8745278996865204,3,100,2.258708357532527,0.022885984082483213,COMPLETE
82,0.8745278996865204,4,100,7.40382456349345,0.010025024987252626,COMPLETE
83,0.8745278996865204,4,100,1.6651085528239742,0.015942578834738725,COMPLETE
84,0.8745278996865204,5,150,1.3534355280707067,0.0335533866717826,COMPLETE
85,0.8745278996865204,4,100,3.1397878750807005,0.038537019580306614,COMPLETE
86,0.8745278996865204,3,450,1.5432470046754296,0.01972810928833312,COMPLETE
87,0.8745278996865204,5,150,1.1560650746727807,0.01319250363698542,COMPLETE
88,0.8701889660621153,6,400,2.5521100877630643,0.06773407979135523,COMPLETE
89,0.8723557692307693,8,200,2.915336481960546,0.09084524469131808,COMPLETE
90,0.8745278996865204,5,400,1.8431016953249952,0.011492635494792224,COMPLETE
91,0.8745278996865204,8,200,5.671625368561202,0.014031991086333543,COMPLETE
92,0.8745278996865204,7,200,5.128589539623128,0.052430354801598265,COMPLETE
93,0.8745278996865204,10,250,4.26406965335694,0.010787291872336405,COMPLETE
94,0.8745278996865204,9,150,8.139496700891431,0.012703286577895044,COMPLETE
95,0.8745278996865204,6,250,4.785124177371664,0.021028240252698734,COMPLETE
96,0.8745278996865204,8,200,6.099095211446372,0.01712568129821452,COMPLETE
97,0.8745278996865204,7,300,5.426192829544302,0.014753074890309652,COMPLETE
98,0.8723557692307693,6,500,7.111328945797394,0.041946244813355446,COMPLETE
99,0.8701889660621153,7,350,3.9083489890391956,0.02716628672189285,COMPLETE
