number,value,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,state
56,0.8802269254441485,0.01564589174062283,30,300,22,0.14513367160545432,COMPLETE
57,0.8815701348546515,0.021632947923866903,26,200,63,0.007307092679705809,COMPLETE
58,0.8784530154880649,0.08722011543062305,40,250,43,0.0025538044829719695,COMPLETE
59,0.878889765485861,0.014035987439711893,46,400,54,0.004163760373900095,COMPLETE
60,0.8804948228399991,0.027280628802543075,31,300,80,5.706530134305563,COMPLETE
61,0.8803183369144324,0.07065574353726295,33,250,27,0.0012234207894813232,COMPLETE
62,0.8787192491880053,0.09877297052267225,35,200,19,0.0010392158479322424,COMPLETE
63,0.8800572145081055,0.07819354739977381,27,300,25,0.00010378698114873718,COMPLETE
64,0.8799646693339159,0.060059115611885275,44,150,36,0.31064956453267295,COMPLETE
65,0.8784530154880649,0.08790301778347859,38,250,32,0.013601355154538195,COMPLETE
66,0.8789820017474995,0.16996621429068415,25,350,47,0.8562818223581816,COMPLETE
67,0.8804948228399991,0.012296091930547485,41,250,40,0.0006236039388832057,COMPLETE
68,0.8815701348546515,0.0546828091357302,21,200,29,0.10757313744847825,COMPLETE
69,0.8804948228399991,0.12776105828079246,29,100,84,0.027603978791442146,COMPLETE
70,0.8756129713217747,0.10364335884654921,32,300,18,0.21415809945914546,COMPLETE
71,0.8815701348546515,0.03363953195827135,23,500,102,7.43862510437998,COMPLETE
72,0.8785939363872075,0.03687231950732451,25,500,108,3.031405965161052,COMPLETE
73,0.8777301800053734,0.049887368788111654,28,450,96,1.9701237088256105,COMPLETE
74,0.8815701348546515,0.044142995446463155,26,450,112,8.137270725020835,COMPLETE
75,0.8815701348546515,0.11276572101356944,19,500,105,4.084431019062609,COMPLETE
76,0.8800572145081055,0.039736750703406994,9,250,118,0.009274295647502075,COMPLETE
77,0.8800572145081055,0.030612281726850623,30,400,44,2.0509691647557076,COMPLETE
78,0.8794217724650825,0.14829014833872312,48,450,94,9.649112362118121,COMPLETE
79,0.8784530154880649,0.06367180013708164,36,200,59,0.0023300531274515974,COMPLETE
